4386	9958	9624	8129	1841
4902	5076	2009	8095	3238
7650	3410	9383	3146	8346
6587	964	6795	957	8965
6599	760	7757	9891	66
6686	7446	8614	9978	907
9015	6373	3521	6073	7021
7099	8694	1129	169	9990
6493	748	712	9735	8812
2182	9341	4708	2255	4821
5995	4942	1575	7216	8337
2756	3493	2682	5128	8986
8866	1256	1892	7198	9669
7322	3368	9768	2282	7662
9298	963	3784	1637	267
2015	9132	6945	3617	9057
795	8132	3726	7326	1400
3312	13	1694	769	7005
8683	5837	8268	9615	9250
4557	3230	3624	2544	7322
8768	9429	9363	6185	7633
3689	3138	8811	7323	7758
726	1856	3504	468	4302
4854	3778	1831	1376	8047
3724	2625	2407	5798	5498
9009	2354	6575	564	328
4126	9647	8245	7144	9071
241	6237	8448	2890	1012
6962	2954	2061	5029	2836
7323	7561	396	7085	917
8720	1002	9486	8052	8936
6542	8383	2654	7481	532
7442	2928	1399	427	9365
3605	3611	7915	3451	3609
8801	9349	7128	5876	4459
3391	6967	677	7577	8374
6806	4301	4220	3987	2593
7659	8134	3719	6990	5131
1403	4616	1786	9647	9141
9837	4349	507	6821	8354
9410	7815	1724	5090	4599
9128	6601	3764	6503	6698
7898	3446	7699	6102	2407
2608	2561	4699	9376	9910
6071	9480	4575	5998	2597
2370	7727	1231	3371	84
5009	7668	8534	1112	9255
3763	8525	9401	9468	1035
2254	8336	8907	2075	4627
8720	5052	9288	7632	6390
2124	5963	672	957	6564
2090	7254	8411	6492	6940
7082	1809	2929	9645	1214
5294	2689	2651	9843	6006
1696	528	4546	4092	3103
1824	7682	4579	735	3467
1121	7159	7769	8281	9993
4852	9193	8041	9961	2492
9741	6612	985	1107	3772
3670	7439	5081	1777	4092
2568	1188	5397	514	3189
8700	6521	8187	8508	451
6463	4240	4530	1540	266
8797	8543	7256	6188	2797
6068	3626	6759	8515	2858
2070	9713	1231	9175	77
6644	5744	8070	4217	361
1142	1361	5165	676	1413
4778	9906	3832	8730	5429
6723	2338	563	1600	183
5440	167	27	6052	132
3529	8886	3168	8580	4349
2357	1337	7441	6672	1057
3192	9360	564	3695	1076
9067	4033	233	5401	2638
6512	341	8461	2033	9644
4374	2536	5194	1543	6689
7725	9598	7116	5649	253
